"LineNo","DateTime","Hour","Channel","ThresholdA","CutoffA","CbMs","ArrivalDelayMs","Dev","N","FsHz","ImaxA"
"2452","2025/12/28 6:03:33","2025-12-28 06:00","5","10","8.518","31.95","0.4","1","20","1000","10.006"
"2476","2025/12/28 6:05:33","2025-12-28 06:00","5","10","8.7","31.93","0.42","1","20","1000","10.614"
"2482","2025/12/28 6:06:03","2025-12-28 06:00","5","10","8.691","31.92","0.91","1","20","1000","10.839"
"2489","2025/12/28 6:06:34","2025-12-28 06:00","3","10","8.311","31.87","0.01","1","20","1000","9.808"
"2501","2025/12/28 6:07:34","2025-12-28 06:00","3","10","8.082","31.95","0.41","1","20","1000","10.332"
"2525","2025/12/28 6:09:34","2025-12-28 06:00","3","10","8.215","31.88","0.55","1","20","1000","9.904"
"2536","2025/12/28 6:10:33","2025-12-28 06:00","5","10","8.556","31.94","0","1","20","1000","10.221"
"2537","2025/12/28 6:10:34","2025-12-28 06:00","3","10","8.144","31.92","0.37","1","20","1000","9.47"
"2543","2025/12/28 6:11:04","2025-12-28 06:00","3","10","8.163","32.16","0.43","1","20","1000","9.708"
"2547","2025/12/28 6:11:33","2025-12-28 06:00","1","10","8.178","31.99","0.36","1","20","1000","9.335"
"2549","2025/12/28 6:11:34","2025-12-28 06:00","3","10","8.115","31.79","0.49","1","20","1000","9.759"
"2577","2025/12/28 6:14:03","2025-12-28 06:00","1","10","8.293","31.88","0.6","1","20","1000","10.831"
"2601","2025/12/28 6:16:03","2025-12-28 06:00","1","10","8.207","31.94","0.06","1","20","1000","10.397"
"2609","2025/12/28 6:16:34","2025-12-28 06:00","3","10","8.247","31.88","0.37","1","20","1000","10.371"
"2619","2025/12/28 6:17:33","2025-12-28 06:00","1","10","8.363","31.94","0.82","1","20","1000","10.078"
"2661","2025/12/28 6:21:03","2025-12-28 06:00","1","10","8.213","31.94","0.87","1","20","1000","10.03"
"2663","2025/12/28 6:21:04","2025-12-28 06:00","3","10","8.12","31.92","0","1","20","1000","10.297"
"2668","2025/12/28 6:21:33","2025-12-28 06:00","5","10","8.611","31.98","0.41","1","20","1000","10.035"
"2675","2025/12/28 6:22:04","2025-12-28 06:00","3","10","8.56","31.05","0.52","1","20","1000","9.878"
"2686","2025/12/28 6:23:03","2025-12-28 06:00","5","10","8.602","31.89","0.49","1","20","1000","10.797"
"2699","2025/12/28 6:24:04","2025-12-28 06:00","3","10","8.153","31.91","0.84","1","20","1000","9.676"
"2704","2025/12/28 6:24:33","2025-12-28 06:00","5","10","8.447","31.93","0.79","1","20","1000","9.896"
"2705","2025/12/28 6:24:34","2025-12-28 06:00","3","10","8.364","31.9","0.2","1","20","1000","9.795"
"2711","2025/12/28 6:25:04","2025-12-28 06:00","3","10","8.115","31.93","0.49","1","20","1000","9.946"
"2746","2025/12/28 6:28:03","2025-12-28 06:00","5","10","8.682","31.95","0.05","1","20","1000","10.147"
"2751","2025/12/28 6:28:33","2025-12-28 06:00","1","10","8.271","31.89","0.12","1","20","1000","9.721"
"2765","2025/12/28 6:29:34","2025-12-28 06:00","3","10","8.232","31.92","0.23","1","20","1000","10.596"
"2771","2025/12/28 6:30:04","2025-12-28 06:00","3","10","8.27","31.93","0.09","1","20","1000","10.245"
"2775","2025/12/28 6:30:33","2025-12-28 06:00","1","10","8.585","31.94","0.14","1","20","1000","10.998"
"2793","2025/12/28 6:32:03","2025-12-28 06:00","1","10","8.278","31.92","0.84","1","20","1000","9.698"
"2794","2025/12/28 6:32:03","2025-12-28 06:00","5","10","8.675","31.88","0.83","1","20","1000","9.945"
"2829","2025/12/28 6:35:03","2025-12-28 06:00","1","10","8.526","31.89","0.01","1","20","1000","10.602"
"2836","2025/12/28 6:35:33","2025-12-28 06:00","5","10","8.555","31.96","0.76","1","20","1000","11.029"
"2837","2025/12/28 6:35:34","2025-12-28 06:00","3","10","8.372","31.89","0.91","1","20","1000","9.94"
"2847","2025/12/28 6:36:33","2025-12-28 06:00","1","10","8.257","31.91","0.09","1","20","1000","10.57"
"2848","2025/12/28 6:36:33","2025-12-28 06:00","5","10","8.611","31.92","0.08","1","20","1000","10.057"
"2866","2025/12/28 6:38:03","2025-12-28 06:00","5","10","8.716","31.92","0.46","1","20","1000","10.62"
"2889","2025/12/28 6:40:03","2025-12-28 06:00","1","10","8.14","31.88","0.64","1","20","1000","9.724"
"2890","2025/12/28 6:40:03","2025-12-28 06:00","5","10","8.426","31.88","0.57","1","20","1000","9.549"
"2919","2025/12/28 6:42:33","2025-12-28 06:00","1","10","8.354","31.89","0.9","1","20","1000","10.483"
"2925","2025/12/28 6:43:03","2025-12-28 06:00","1","10","8.313","31.93","0.94","1","20","1000","9.908"
"2955","2025/12/28 6:45:33","2025-12-28 06:00","1","10","8.2","31.94","0.04","1","20","1000","10.049"
"3004","2025/12/28 6:49:33","2025-12-28 06:00","5","10","8.597","31.92","-0.04","1","20","1000","10.53"
"3005","2025/12/28 6:49:34","2025-12-28 06:00","3","10","8.125","31.94","0.16","1","20","1000","9.93"
"3009","2025/12/28 6:50:03","2025-12-28 06:00","1","10","8.175","31.93","0.39","1","20","1000","10.628"
"3039","2025/12/28 6:52:33","2025-12-28 06:00","1","10","8.127","31.93","0.11","1","20","1000","9.724"
"3041","2025/12/28 6:52:34","2025-12-28 06:00","3","10","8.268","31.95","0.08","1","20","1000","10.776"
"3053","2025/12/28 6:53:34","2025-12-28 06:00","3","10","8.65","31.96","0.81","1","20","1000","10.055"
"3058","2025/12/28 6:54:03","2025-12-28 06:00","5","10","8.587","31.95","0.28","1","20","1000","9.514"
"3063","2025/12/28 6:54:33","2025-12-28 06:00","1","10","8.428","31.02","0.88","1","20","1000","10.918"
"3069","2025/12/28 6:55:03","2025-12-28 06:00","1","10","8.374","31.92","0.85","1","20","1000","10.139"
"3113","2025/12/28 6:58:34","2025-12-28 06:00","3","10","8.405","31.91","0.71","1","20","1000","10.287"
"3118","2025/12/28 6:59:03","2025-12-28 06:00","5","10","8.445","31.98","0.37","1","20","1000","10.157"
"3119","2025/12/28 6:59:04","2025-12-28 06:00","3","10","8.214","31.94","0.57","1","20","1000","11.046"
"3130","2025/12/28 7:00:03","2025-12-28 07:00","5","10","8.556","31.9","0.73","1","20","1000","10.482"
"3161","2025/12/28 7:02:34","2025-12-28 07:00","3","10","8.189","31.95","0.26","1","20","1000","9.895"
"3171","2025/12/28 7:03:33","2025-12-28 07:00","1","10","8.379","31.92","0.13","1","20","1000","10.2"
"3172","2025/12/28 7:03:33","2025-12-28 07:00","5","10","8.475","31.91","0.07","1","20","1000","9.884"
"3201","2025/12/28 7:06:03","2025-12-28 07:00","1","10","8.299","31.93","0.85","1","20","1000","10.593"
"3202","2025/12/28 7:06:03","2025-12-28 07:00","5","10","8.525","31.93","0.78","1","20","1000","10.437"
"3219","2025/12/28 7:07:33","2025-12-28 07:00","1","10","8.279","31.9","0.67","1","20","1000","10.738"
"3231","2025/12/28 7:08:33","2025-12-28 07:00","1","10","8.224","31.93","0.71","1","20","1000","10.471"
"3245","2025/12/28 7:09:34","2025-12-28 07:00","3","10","8.306","31.98","0.06","1","20","1000","10.432"
"3257","2025/12/28 7:10:34","2025-12-28 07:00","3","10","8.152","31.85","0.85","1","20","1000","10.046"
"3304","2025/12/28 7:14:33","2025-12-28 07:00","5","10","8.432","31.88","0.54","1","20","1000","10.9"
"3322","2025/12/28 7:16:03","2025-12-28 07:00","5","10","8.83","31.91","0.46","1","20","1000","9.864"
"3328","2025/12/28 7:16:33","2025-12-28 07:00","5","10","8.635","31.92","0.42","1","20","1000","10.704"
"3333","2025/12/28 7:17:03","2025-12-28 07:00","1","10","8.116","31.9","0.17","1","20","1000","10.223"
"3376","2025/12/28 7:20:33","2025-12-28 07:00","5","10","8.6","31.97","0.49","1","20","1000","11.199"
"3381","2025/12/28 7:21:03","2025-12-28 07:00","1","10","8.373","31.92","0.04","1","20","1000","10.606"
"3388","2025/12/28 7:21:33","2025-12-28 07:00","5","10","8.431","31.92","0.07","1","20","1000","10.051"
"3395","2025/12/28 7:22:04","2025-12-28 07:00","3","10","8.333","31.93","0.33","1","20","1000","10.139"
"3399","2025/12/28 7:22:33","2025-12-28 07:00","1","10","8.163","31.9","0.32","1","20","1000","10.046"
"3423","2025/12/28 7:24:33","2025-12-28 07:00","1","10","8.488","31.93","0.84","1","20","1000","11.008"
